n,SMILE,class
0,COc1ccc(CN2CCC(CCNC(=O)C=Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)CC2)cc1,0.0
1,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1,0.0
2,COc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1,0.0
3,COc1c(F)c[n+](C)cc1F,0.0
4,COc1cc(C=CC(=O)N2CCN(c3ccc(C)cc3)CC2)ccc1O,0.0
5,C#CCNC1CCc2cc(Cl)c(OC(=O)N(C)CC)cc21,0.0
6,CC#CCCOC[n+]1ccn(C)c1C=NO,0.0
7,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)CCN(Cc4ccccc4)C2N3Cc2ccccc2)cc1,0.0
8,CC(C)(C)c1cc[n+](CCCCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1,1.0
9,O=[N+]([O-])c1ccc(C=NC2CCN(Cc3ccccc3)CC2)cc1,1.0
10,CCC1C2OC(=O)C(C)(O)C2C23CCC(C4CC(C)C(=O)O4)N2CCCCC13,0.0
11,O=C(CCc1c[nH]c2ccccc12)NC1CCN(Cc2ccccc2)CC1,0.0
12,CNC(=O)Oc1cccc(CN(C)CCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,1.0
13,Cn1cc[n+](COCC2CCCc3ccccc32)c1C=NO,0.0
14,COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1,1.0
15,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CNCCO2,1.0
16,O=[N+]([O-])c1ccc2c(=NCc3ccccc3)c3c([nH]c2c1)CCCC3,0.0
17,COc1ccc(CN(Cc2ccccc2)C2=NCC(CI)S2)cc1OC,0.0
18,COc1ccc2oc(C(=O)NCCCCCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc(=O)c2c1,1.0
19,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc3ccccc3c2)cc1,0.0
20,COc1ccccc1CN=c1c2c([nH]c3ccc(Cl)cc13)CCCC2,0.0
21,CN(C)CCOc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,0.0
22,FC(F)(F)Oc1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,1.0
23,CC(C)N=c1[nH]c(=NCc2ccccc2)c2ccccc2[nH]1,0.0
24,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0.0
25,CCCCCCCN=c1c2c([nH]c3ccccc13)-c1ccccc1C2,0.0
26,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,1.0
27,C#CCN(C)C1CCc2ccc(OC(=O)N(C)C)cc21,0.0
28,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C1(C(=O)C(C)C)C(=O)C1=C2OC(C(C)(C)O)C1O,0.0
29,CN(C)Cc1ccc(CSCCNC(=O)CSCc2ccc(CN(C)C)o2)o1,0.0
30,COc1cc2cc(-c3ccc(CN(C)Cc4ccc(C)cc4)cc3)c(=O)oc2cc1OC,1.0
31,N#Cc1c(N)[nH]c(=NCCC2CCN(Cc3ccccc3)CC2)c(C#N)c1-c1ccccc1,1.0
32,CC(C)NC(=O)c1cc2c(OC(=O)N(C)C)cccc2[n+](C)c1,1.0
33,O=C(NCCCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,1.0
34,CC(C)C1=NC2(C)C(CCC34CC35C(=O)CC3(C)C(C(C)N(C)C)C(O)CC3(C)C5CCC24)N1,0.0
35,Cc1ccc(-c2[nH]c(=NC(=O)C3CCN(Cc4ccc([N+](=O)[O-])cc4)CC3)sc2-c2ccc(C)cc2)cc1,0.0
36,COc1cccc2cc[n+](-c3ccccc3)cc12,0.0
37,COc1ccc2c(c1)CC(=CC1CCN(Cc3ccccc3)CC1)C2=O,1.0
38,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)CCC(=Cc2cc(OC)c(OC)c(OC)c2)C3=O)c1,1.0
39,Cc1ccc(CN=c2cc[nH]c(=NC3CCN(Cc4ccccc4)CC3)[nH]2)cc1,0.0
40,N#Cc1ccc(C[n+]2ccc(C(=O)NCCc3c[nH]c4ccccc34)cc2)cc1,0.0
41,COc1ccc(Cn2cc(C(=O)NCCCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)c(=O)c3ccccc32)cc1,1.0
42,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(NC(C)=O)c(OC)c3)CC2)nc1-c1ccc(OC)c(OC)c1,1.0
43,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCN=c1c3c([nH]c4cc(Cl)ccc14)CCCC3)O2,1.0
44,COc1ccc2c(c1)CCC(Cc1cc[n+](Cc3cccc(Cl)c3)cc1C(C)=O)C2=O,1.0
45,CCN(CCCCC=Nc1cc(O)c(NCCCCCN(CC)Cc2ccccc2OC)cc1O)Cc1ccccc1OC,1.0
46,CN(C)C(C=NO)=Nc1ccccc1,0.0
47,COC(=O)c1ccccc1C[n+]1ccc(CC2Cc3cc(OC)c(OC)cc3C2=O)c(C(=O)Oc2c(Cl)cc(Cl)cc2Cl)c1,1.0
48,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CC2CCC2)CC1,1.0
49,N#Cc1cc2c(cn1)[nH]c1ncc(-c3ccc(CN4CCOCC4)cc3)cc12,0.0
50,COc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,0.0
51,CCCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(CC)C1C2,1.0
52,N=c1c2c([nH]c3c1C(c1ccccc1)c1ccc4cccnc4c1O3)CCCC2,0.0
53,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(NC(C)=O)c(F)c3)CC2)nc1-c1ccccc1,1.0
54,c1cc[n+](CCCCCCCCCCC[n+]2ccccc2)cc1,1.0
55,COc1ccc(C=CC(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)cc1,0.0
56,CC(C)C1=NC2CCC34CC35C(=O)CC3(C)C(C(C)N(C)CCc6ccccc6)C(O)CC3(C)C5CCC4C2(C)CS1,1.0
57,c1ccc2c(c1)CN1CCCCCC1=N2,0.0
58,CC(C)(C)OC(=O)N1CCN(c2nc(=NC(c3ccccc3)c3ccccc3)cc[nH]2)CC1,0.0
59,CCN(CC)CCOc1ccc(-c2nc3cc(C)ccc3[nH]2)cc1,0.0
60,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccccc3)cc1)C2,1.0
61,c1cnc(-c2cc3c(cn2)[nH]c2ncc(-c4ccc(CN5CCCCC5)cc4)cc23)cn1,0.0
62,CC(C)c1ccc(NC(=O)OC2CCCN(C3Cc4ccccc4C3)C2)cc1,0.0
63,COc1cc2oc(-c3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2cc1OC,0.0
64,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc12,1.0
